,smiles
21,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
22,Cc1oc(=O)oc1COC(=O)C1=C([C@H]2CCCO2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12
23,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
24,CCCNC(C)C(O)=Nc1c(C)csc1C(=O)OC
25,NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O
26,Oc1c(I)cc(I)c2cccnc12
27,Nc1ccc2cc3ccc(N)cc3nc2c1
28,C[N+](C)(C)CCOC(N)=O
29,CC(C)c1cccc(C(C)C)c1O
30,O=C(O)[C@H](CCCN1C(=O)[C@@]2(N=C1O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)N(O)CO
31,CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C
32,CCCCOc1c(OCCCC)c(=O)c1=O
33,NCC1=N/C(=C\c2ccc(O)cc2)C(=O)N1CC(=O)O
34,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)O)OCc1ccccc1
35,CCCCC[C@H](O)/C=C/C1=C(C/C=C\CCCC(=O)O)C(=O)CC1
36,Cc1ccc(C(=O)NCCC2CCCC2)cc1C(=O)Nc1ccc(N)nc1
37,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
38,O=C(O)c1ccc(-c2ccc(F)cc2)cc1
39,O=C1N2C=C(c3ccc(O)cc3)N[C@@H](Cc3ccccc3)C2=N[C@@]1(Cc1ccc(Br)cc1)OO
40,O=C(NC(=O)c1cc(F)c(F)cc1Cl)Nc1cc(F)ccc1N1CCC(C(=O)O)CC1
41,CC(C)c1cc(-c2nnc(O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O
42,N[C@@H](CC(=O)OP(=O)(O)O)C(=O)O
43,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
44,Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O
45,NCC(=O)N1CCC[C@H]1C(O)=N[C@@H](CCC(=O)O)C(=O)O
46,O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1
47,COC(=O)C1=C(C)CC(=O)c2c1cc1c(c2O)C(=O)c2c(O)cccc2C1=O
48,C=CC[C@H]1C(=O)C(C)(C)[C@@H](O)CC(=O)O[C@H](c2ccc3sc(C)nc3c2)C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@@H]1O
49,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(-c4ccccn4)c3)o2)c1
50,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
51,CCN=C(S)Nc1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1
52,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H]3C[C@@H](O)CC(=O)N3Cc3ccc4c(CO)c(OC)ccc4c3)[C@H]21
53,CCCCCS(=O)(=O)NC(=O)c1ccc2nc(C)n(Cc3ccc(Cl)cc3Cl)c2c1
54,Cc1cc(S(C)(=O)=O)c(S(C)(=O)=O)cc1C(=O)NC(=N)N
55,O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21
56,O=C(O)CCCC[C@H]1SC[C@@H]2NC(=O)N[C@@H]21
57,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1
58,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1cccc([C@@](C)(O)C(F)(F)F)c1
59,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
60,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](NS(C)(=O)=O)C[C@@H]2C(=O)NO)cc1
61,O=C(Nc1ccccc1C(=O)O)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1
62,COCc1cc(O)cc2c1O[C@@H](c1ccc(O)cc1)[C@H]1CCC[C@@H]21
63,Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H]3CC(F)(F)C[C@@H]32)cc1
64,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
65,CCCN1C[C@@H](NS(=O)(=O)N(CC)CC)C[C@@H]2Cc3c(O)cccc3C[C@H]21
66,C1CO1.CC1CO1
67,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O
68,CCC(=O)CCC(C)(C)O
69,O=C(CC1(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)CCOCC1)NO
70,NC1N=c2ccccc2=N1
71,Nc1ccc(O)cc1
72,C[C@@]1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O
73,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O[C@H]3CC[C@@]4(C)C(=CC[C@H]5[C@@H]6C[C@@H]7O[C@]8(CC[C@@H](C)CN8)[C@@H](C)[C@@H]7[C@@]6(C)CC[C@@H]54)C3)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O
74,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1
75,OB1OCc2cc(F)ccc21
76,O=C(O)[C@@H](CS)CCCc1ccccc1
77,O=C(O)CCCCCCCC(=O)O
78,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
79,Cc1c(CCOP(=O)([O-])[O-])sc[n+]1Cc1cnc(C(F)(F)F)nc1N
80,CC(=O)O[C@@H]1[C@H](N)[C@@H](OP(=O)(O)O)[C@@]2(C(=O)O)CS[C@@](O)(C(N)=O)[C@@H]1O2
81,O=S(=O)(O)O[C@@H]1[C@@H](OS(=O)(=O)O)[C@@H](O)O[C@H](CO)[C@H]1O
82,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O
83,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](OCCCCCCC3CCCCC3)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
84,O=C1NCCc2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)c3)cc21
85,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2
86,CC(C)[C@@H](CO)Nc1ccc2ncc(-c3cccc(N)c3)n2n1
87,[C-]#[N+]CCCC
88,COc1cc(Cl)cc(C(C)Nc2cc(N3CCNCC3)ccc2S(C)(=O)=O)c1OC.Cl
89,O=C([O-])CCC(=O)[O-].[Li+].[Li+]
90,COC(=O)c1c(Cl)cccc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1
91,CN(C)C[C@H](O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21
92,CC(=O)Nc1ccc(OC(=O)CCCO[N+](=O)[O-])cc1
93,CCNc1nc(Cl)nc(NC(C)(C#N)CC)n1
94,CC(=O)c1ccc(N2C[C@@H](C(=O)O)CC2=O)cc1
95,O=c1nc(O)c(/C=C/Br)cn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1
96,CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
97,N=C(N)Nc1cccc([C@H](C[P@@](=O)(O)CCCc2ccccc2)C(=O)O)c1
98,N=c1nc(O)c2c([nH]1)NC[C@@H](CCc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)C2
99,CNC(=O)[C@@H](N)C(C)(C)C
100,[O-]B1OB2OB([O-])OB(O1)O2
101,O=C(O)CCC(=O)O
102,CN(C)C(=S)SSC(=S)N(C)C
103,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
104,O=NC(=O)CNS(=O)(=O)c1ccccc1
105,CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)O
106,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O)C(C)C)[C@@H](C)O
107,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
108,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(OP(=O)(O)O)c2)c(OC)c1
109,O=C(O)c1cscn1
110,NCC(=O)NC1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
111,N[C@@H]1C[C@H](O)[C@@H](CO)O[C@@H]1O
112,CC(C)C[C@H](NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
113,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
114,Nc1ccncc1
115,CC(=O)O[C@@]12CO[C@@H]1CC[C@@]1(C)[C@@H]3O[C@H](CN(C)C)O[C@@H]3C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ncccc4F)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
116,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
117,[90Y]
118,O=c1[nH]n(CCc2ccccc2)c(=O)c2ccccc12
119,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C
120,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3ccc(Cl)cc3s2)C1=O
121,CSCC[C@H](NC(=O)[C@H]1CC[C@@H](C)CC1)C(=O)Nc1ccncc1
122,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21
123,NCCCS(=O)(=O)O
124,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)n1
125,CN(C)CCNC(=O)c1cccc2cc3ccccc3nc12
126,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1
127,CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1
128,COc1cc(C2c3cc4c(cc3C(O)C(CO)C2C(=O)O)OCO4)cc(OC)c1OC.COc1cc(C2c3cc4c(cc3C(O)C(CO)C2C(=O)O)OCO4)cc(OC)c1OC.COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC.COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC
129,N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CCC2CCCC2)cc1
130,N[C@@H](CCO)C(=O)O
131,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
132,CC[C@H](CO)Nc1nc(OCc2ccccc2)c2ncn(C(C)C)c2n1
133,O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1
134,CC(=O)OC[C@H](O)CO[P@@](=O)(O)OCC[NH3+]
135,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC
136,CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@@H](O)[C@@H]1O
137,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1
138,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)C[NH3+]
139,Cc1cccc(C)c1OC[C@@H](C)N
140,COC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](O)[C@H](N)c1ccc(C)cc1
141,c1ccc(C(c2ccccc2)N2CCN(CCCC3(c4ccccc4)OCCO3)CC2)cc1
142,CCCC(C)(O)C1C[C@@]23C=CC1(OC)C1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5
143,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
144,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
145,NCCc1c[nH]cn1
146,COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1
147,Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN4CCN(C)CC4)cccc2-3)s1
148,COc1c(O)c(OC)c2oc(-c3ccccc3O)cc(=O)c2c1O
149,OC[C@H]1CN(CCCc2ccccc2)C[C@@H](O)[C@@H]1O
150,CC(C)[C@H](N)CO
151,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
152,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O
153,Cc1ccc(C(C)C)c(O)c1
154,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
155,C[C@@H](O)[C@@](C)(O)CN
156,CCCC[C@H](CN(O)C=O)C(=O)N1CCC[C@H]1c1nc2ccccc2o1
157,Cc1ccccc1-c1cc2cc(C(=N)N)ccc2[nH]1
158,Nc1nc(N)c2c(OCC3CCN(Cc4ccccc4F)CC3)cccc2n1
159,O=P1(N(CCCl)CCCl)OCCCN1CCCl
160,Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(C=O)n3)ccc12
161,CC(=O)N1N=C(c2ccccc2Cl)C[C@H]1c1cccc(O)c1
162,Clc1ccc2c(c1Cl)CNCC2
163,CO[C@@H]1[C@@H](C(=O)O)O[C@@H](O)[C@H](O)[C@H]1O
164,F[Sn]F
165,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)O
166,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](CC(=O)N1CCCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
167,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1
168,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H](C#CC#CC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
169,C#[N+]CC
170,Nc1nc(N)c2ncn(CCOCP(=O)(O)O)c2n1
171,[Sb+5]
172,CCCSc1cc(OC)c(CCN)cc1OC
173,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1
174,[Fe+3]
175,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
176,O=C(O)CCCCCC/C=C\[C@@H]1O[Fe@@]23Oc4ccccc4[C@H]4N[C@@H](CO4)C(=O)N[C@H](CCCCN1O2)C(=O)OCCC(=O)N[C@@H]1CCCCN(O3)C1=O
177,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
178,CC[C@@H]1SC2(CCN(C)CC2)NC1=O
179,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C
180,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1
181,O=C(CO)[C@H](O)[C@@H](O)COP(=O)(O)O
182,COc1ccc2c(c1)c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccccc1Br
183,O=CN(O)CCOc1cccc(C(=O)c2ccccc2)c1
184,Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1Cl)=NC2
185,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
186,Nc1cccc(-c2cnn3ccc(Nc4cccc(Cl)c4)nc23)c1
187,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
188,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
189,CS(C)=O
190,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
191,CC[C@@H]1/C=C(\C)[C@@H](O)[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4ccc5c(ccn5C)c4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
192,C[C@H]1CN(CCCCCCCCNC=O)C[C@@H](C)O1
193,CN1CCc2nc(C(=O)N[C@@H]3CCCC[C@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1
194,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)C[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
195,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1
196,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
197,OB(O)c1cc2ccccc2s1
198,NCCCN1CCN(CCCN=C(O)c2cc(N=C(O)Cc3cccs3)cc(O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)c2)CC1
199,CC[C@H](N)Cc1ccccc1
200,NCCc1c[nH]c2ccccc12
201,NC(=O)CC[C@@H](C(=O)O)N(CCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)c1ccc(NCc2cnc3nc(N)[nH]c(=O)c3n2)cc1
202,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC.[I-].[I-].[I-]
203,ClCCCl
204,COC(=O)c1ccc(O)cc1
205,O=C1N(Cc2cccc(C(O)=Nc3nc4ccccc4[nH]3)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(C(O)=Nc2nc3ccccc3[nH]2)c1
206,CN1CCC23NC(=O)CC(c4cc(Cl)ccc4O2)C3C1
207,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C.[Cl-]
208,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
209,COc1ccc2[nH]c3c(c2c1)CCN[C@]31CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4
210,COC(O)=N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1ncc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5nc([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](N=C(O)OC)C(C)C)[nH]c5c4)ccc2-3)[nH]1)C(C)C
211,O=C(O)C[C@H](C(=O)O)C(=O)C(=O)O
212,CC(C)(C)c1c/c(=N\C(=O)Nc2ccc(Cl)cc2)n(-c2ccccc2)[nH]1
213,CC(=O)N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1OCC(C)C
214,O=C1c2ccccc2C(=O)N1CCOC(=S)Nc1ccc(Cl)cc1
215,N[C@@H](CCCC[B-](O)(O)O)C(=O)O
216,CCCNC(=[NH2+])NCCC[C@H](N)C(=O)O
217,O=C(Oc1ccccc1C(=O)O)c1ccccc1O
218,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNCC2)c(OC(C)C)c1
219,O=C(O)[C@@H](CS)Cc1ccccc1
220,O=C(CN1C[C@H](O)[C@@H](NC(=O)c2ccc(Cl)s2)C1)Nc1ccc(-n2ccccc2=O)cc1F
221,C[C@](O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
222,NCC(=O)[O-].NCC(=O)[O-].[Zn+2]
223,c1ccc2occc2c1
224,N[C@H](C(=O)O)c1ccc(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1
225,c1cc(SSc2ccncc2)ccn1
226,Cc1cn([C@H]2C=C[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
227,C[C@H]1CC[C@@H](O)[C@H]1N=C(O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(C(=O)c2cnc(N3CCN(C)CC3)c(Cl)n2)C[C@H]1C(O)=NC(C)(C)C
228,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1
229,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5[C@H](O)C[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C
230,O=P([O-])([O-])O.[K+].[K+]
231,C[C@H](O)C(O)=Nc1c(I)c(C(O)=NC(CO)CO)c(I)c(C(O)=NC(CO)CO)c1I
232,CS(=O)(=O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COS(C)(=O)=O
233,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
234,Cn1nc(C(F)(F)F)c2cc(C(=O)NCCS)sc21
235,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
236,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC[C@@H]2C(=O)O)c1
237,O=C1CCCON1Cc1cc(C(O)=NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F
238,CCCC(=O)Nc1c(I)cc(I)c(/C=C(\CC)C(=O)O)c1I
239,OC1=NC=C(F)[C@H](O)N1
240,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)N=C(NO)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
241,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12
242,O=C(c1c(O)cc(O)cc1O)n1cccc1
243,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)[C@H](C)O
244,Nc1ccn([C@H]2CO[C@@H](CO)S2)c(=O)n1
245,O=C1CN(S(=O)(=O)/C=C/c2ccc(Cl)cc2)CCN1CC1CCN(c2ccncc2)CC1
